id_estacao,DICO,Concelho
533,0815,Vila do Bispo
535,1106,Lisboa
541,1513,Sines
545,1308,Matosinhos
546,1317,Vila Nova de Gaia
548,0603,Coimbra
551,1609,Viana do Castelo
554,0805,Faro
558,0705,Évora
560,1823,Viseu
562,0205,Beja
566,1714,Vila Real
567,1714,Vila Real
568,0908,Manteigas
570,0502,Castelo Branco
571,1214,Portalegre
575,0402,Bragança
577,0211,Odemira
579,1106,Lisboa
604,1608,Valença
605,1604,Monção
606,1603,Melgaço
610,1609,Viana do Castelo
611,1706,Montalegre
612,0412,Vinhais
615,1607,Ponte de Lima
616,1703,Chaves
619,1706,Montalegre
622,0303,Braga
630,0304,Cabeceiras de Basto
632,0407,Mirandela
633,0405,Macedo de Cavaleiros
635,0406,Miranda do Douro
637,0408,Mogadouro
643,1309,Paços de Ferreira
644,0403,Carrazeda de Ansiães
649,1308,Matosinhos
654,0409,Torre de Moncorvo
655,1815,São João da Pesqueira
657,1311,Penafiel
663,1807,Moimenta da Beira
666,0913,Trancoso
669,0104,Arouca
671,0902,Almeida
675,1823,Viseu
683,0907,Guarda
685,1809,Nelas
686,0612,Pampilhosa da Serra
687,0503,Covilhã
690,0503,Covilhã
697,0607,Lousã
698,0504,Fundão
702,0105,Aveiro
704,0608,Mira
705,0103,Anadia
707,0603,Coimbra
713,0605,Figueira da Foz
716,1003,Ansião
718,1009,Leiria
721,1010,Marinha Grande
724,1418,Tomar
726,1001,Alcobaça
729,1414,Rio Maior
734,1416,Santarém
739,1113,Torres Vedras
744,1409,Coruche
746,1113,Torres Vedras
747,1111,Sintra
750,1111,Sintra
762,1106,Lisboa
765,1105,Cascais
766,1504,Barreiro
767,1508,Palmela
770,1508,Palmela
773,1503,Almada
776,1501,Alcácer do Sal
783,1509,Santiago do Cacém
788,0211,Odemira
789,0803,Aljezur
790,0809,Monchique
800,0911,Sabugal
803,0505,Idanha-a-Nova
806,0508,Proença-a-Nova
812,1401,Abrantes
820,1214,Portalegre
824,1203,Avis
826,0707,Mora
835,1207,Elvas
837,0704,Estremoz
840,0711,Reguengos de Monsaraz
847,0713,Viana do Alentejo
848,0709,Portel
851,0210,Moura
863,0209,Mértola
864,0206,Castro Verde
865,0802,Alcoutim
866,0816,Vila Real de Santo António
867,0804,Castro Marim
878,0811,Portimão
879,0811,Portimão
881,0810,Olhão
883,0814,Tavira
903,1312,Porto
916,1009,Leiria
929,1512,Setúbal
935,1115,Amadora
3021,1821,Tondela
1200533,0815,Vila do Bispo
1200535,1106,Lisboa
1200541,1513,Sines
1200545,1308,Matosinhos
1200548,0603,Coimbra
1200551,1609,Viana do Castelo
1200554,0805,Faro
1200558,0705,Évora
1200559,1823,Viseu
1200560,1823,Viseu
1200562,0205,Beja
1200567,1714,Vila Real
1200568,0908,Manteigas
1200570,0502,Castelo Branco
1200571,1214,Portalegre
1200575,0402,Bragança
1200576,0402,Bragança
1200579,1106,Lisboa
1210577,0211,Odemira
1210604,1608,Valença
1210605,1604,Monção
1210606,1603,Melgaço
1210611,1706,Montalegre
1210612,0412,Vinhais
1210615,1607,Ponte de Lima
1210616,1703,Chaves
1210619,1706,Montalegre
1210622,0303,Braga
1210630,0304,Cabeceiras de Basto
1210632,0407,Mirandela
1210633,0405,Macedo de Cavaleiros
1210635,0406,Miranda do Douro
1210637,0408,Mogadouro
1210643,1309,Paços de Ferreira
1210644,0403,Carrazeda de Ansiães
1210649,1308,Matosinhos
1210654,0409,Torre de Moncorvo
1210655,1815,São João da Pesqueira
1210657,1311,Penafiel
1210663,1807,Moimenta da Beira
1210666,0913,Trancoso
1210669,0104,Arouca
1210671,0902,Almeida
1210683,0907,Guarda
1210685,1809,Nelas
1210686,0612,Pampilhosa da Serra
1210687,0503,Covilhã
1210690,0503,Covilhã
1210697,0607,Lousã
1210698,0504,Fundão
1210702,0105,Aveiro
1210704,0608,Mira
1210705,0103,Anadia
1210707,0603,Coimbra
1210713,0605,Figueira da Foz
1210716,1003,Ansião
1210718,1009,Leiria
1210721,1010,Marinha Grande
1210724,1418,Tomar
1210726,1001,Alcobaça
1210729,1414,Rio Maior
1210734,1416,Santarém
1210739,1113,Torres Vedras
1210744,1409,Coruche
1210746,1113,Torres Vedras
1210747,1111,Sintra
1210750,1111,Sintra
1210762,1106,Lisboa
1210765,1105,Cascais
1210766,1504,Barreiro
1210767,1508,Palmela
1210770,1512,Setúbal
1210773,1503,Almada
1210776,1501,Alcácer do Sal
1210783,1509,Santiago do Cacém
1210788,0211,Odemira
1210789,0803,Aljezur
1210790,0809,Monchique
1210800,0911,Sabugal
1210803,0505,Idanha-a-Nova
1210806,0508,Proença-a-Nova
1210812,1401,Abrantes
1210824,1203,Avis
1210826,0707,Mora
1210835,1207,Elvas
1210837,0704,Estremoz
1210840,0711,Reguengos de Monsaraz
1210847,0713,Viana do Alentejo
1210848,0709,Portel
1210851,0210,Moura
1210863,0209,Mértola
1210864,0206,Castro Verde
1210865,0802,Alcoutim
1210866,0816,Vila Real de Santo António
1210867,0804,Castro Marim
1210874,0801,Albufeira
1210878,0811,Portimão
1210881,0810,Olhão
1210883,0814,Tavira
1240546,1317,Vila Nova de Gaia
1240566,1714,Vila Real
1240610,1609,Viana do Castelo
1240675,1823,Viseu
1240820,1214,Portalegre
1240903,1312,Porto
1240916,1009,Leiria
1240929,1512,Setúbal
1240935,1115,Amadora
5210758,1405,Benavente
6210817,1213,Ponte de Sor
6210872,0808,Loulé
6210879,0811,Portimão
6212121,0310,Terras de Bouro
6212122,0301,Amares
6212123,0313,Vila Verde
6212124,0303,Braga
6212125,0302,Barcelos
6212126,0306,Esposende
6212410,0312,Vila Nova de Famalicão
6213011,0901,Aguiar da Beira
6213012,1802,Carregal do Sal
6213013,1803,Castro Daire
6213014,1806,Mangualde
6213015,1809,Nelas
6213016,1810,Oliveira de Frades
6213017,1811,Penalva do Castelo
6213018,1816,São Pedro do Sul
6213019,1814,Santa Comba Dão
6213020,1817,Sátão
6213021,1821,Tondela
6213022,1822,Vila Nova de Paiva
6213023,1823,Viseu
6213024,1824,Vouzela
6213611,0601,Arganil
6213612,0602,Cantanhede
6213613,0603,Coimbra
6213614,0606,Góis
6213615,0111,Mealhada
6213616,1808,Mortágua
6213617,0613,Penacova
6213618,0614,Penela
6213619,0617,Vila Nova de Poiares
6213620,0611,Oliveira do Hospital
6213621,0615,Soure
6214521,1413,Mação
6214522,1413,Mação
6214523,1413,Mação
6215360,1110,Oeiras
7240919,1106,Lisboa
